YEAR,STATE,AVG_TEMP,EVENT_COUNT
2023,LOUISIANA,68.94166666666666,2199
2023,MAINE,44.416666666666664,663
2023,MARYLAND,56.90833333333333,649
2023,MASSACHUSETTS,51.291666666666664,475
2023,MICHIGAN,46.80833333333334,792
2023,MINNESOTA,41.9,1690
2023,MISSISSIPPI,66.14166666666667,1942
2023,MISSOURI,56.425000000000004,2303
2023,MONTANA,42.166666666666664,1124
2023,NEBRASKA,49.425000000000004,2335
2023,NEVADA,49.916666666666664,656
2023,OHIO,53.06666666666666,1099
2023,OKLAHOMA,61.416666666666664,3764
2023,OREGON,47.625,339
2023,PENNSYLVANIA,51.06666666666666,1624
2023,TENNESSEE,59.550000000000004,1854
2023,TEXAS,67.45,7773
2023,UTAH,48.23333333333333,689
2023,VERMONT,45.63333333333333,351
2023,VIRGINIA,57.19166666666666,1508
2023,WASHINGTON,47.51666666666667,284
2023,WISCONSIN,44.949999999999996,1325
2023,WYOMING,41.050000000000004,1002
2024,ALABAMA,64.85833333333333,1278
2024,ALASKA,28.691666666666666,336
2024,ARIZONA,61.86666666666667,573
2024,ARKANSAS,62.824999999999996,1245
2024,CALIFORNIA,59.78333333333333,2574
2024,COLORADO,47.10833333333333,1895
2024,CONNECTICUT,52.166666666666664,288
2024,DELAWARE,57.36666666666667,83
2024,FLORIDA,72.60000000000001,1465
2024,GEORGIA,65.275,1669
2024,HAWAII,66.70833333333333,180
2024,IDAHO,45.10833333333333,607
2024,ILLINOIS,55.25833333333333,2581
2024,INDIANA,54.73333333333333,1093
2024,IOWA,51.55833333333334,2532
2024,KANSAS,57.09166666666667,2655
2024,KENTUCKY,58.18333333333334,1754
2024,LOUISIANA,68.81666666666666,1310
2024,MAINE,44.949999999999996,495
2024,MARYLAND,57.300000000000004,553
2024,MASSACHUSETTS,51.30833333333334,314
2024,MICHIGAN,48.416666666666664,701
2024,MINNESOTA,45.699999999999996,1558
2024,MISSISSIPPI,66.14166666666667,1359
2024,MISSOURI,57.78333333333333,2384
2024,MONTANA,44.333333333333336,1274
2024,NEBRASKA,51.541666666666664,2055
2024,NEVADA,51.86666666666667,490
2024,OHIO,54.25,1412
2024,OKLAHOMA,62.44166666666666,3609
2024,OREGON,48.96666666666667,440
2024,PENNSYLVANIA,51.85833333333333,2120
2024,TENNESSEE,59.9,1677
2024,TEXAS,68.08333333333333,5738
2024,UTAH,50.425000000000004,524
2024,VERMONT,46.375,350
2024,VIRGINIA,57.60833333333333,1812
2024,WASHINGTON,48.449999999999996,360
2024,WISCONSIN,47.56666666666666,1286
2024,WYOMING,43.525,803
